264,Yes,Yes,Border Gateway Multicast Protocol (BGMP) ,Official
280,Yes,Yes,http-mgmt ,Official
300,Yes,,ThinLinc Web Access ,Unofficial
308,Yes,,Novastor Online Backup ,Official
311,Yes,Assigned,macOS Server Admin[10] (officially AppleShare IP Web administration[1]) ,Official
318,Yes,Yes,PKIX Time Stamp Protocol (TSP) ,Official
319,,Yes,Precision Time Protocol (PTP) event messages ,Official
320,,Yes,Precision Time Protocol (PTP) general messages ,Official
350,Yes,Yes,Mapping of Airline Traffic over Internet Protocol (MATIP) type A ,Official
351,Yes,Yes,MATIP type B ,Official
356,Yes,Yes,cloanto-net-1 (used by Cloanto Amiga Explorer and VMs) ,Official
366,Yes,Yes,On-Demand Mail Relay (ODMR) ,Official
369,Yes,Yes,Rpc2portmap ,Official
370,Yes,Yes,"codaauth2, Coda authentication server ",Official
,,Yes,"securecast1, outgoing packets to NAI's SecureCast servers[81]As of 2000 ",Official 
371,Yes,Yes,ClearCase albd ,Official
376,Yes,Yes,Amiga Envoy Network Inquiry Protocol ,Official
383,Yes,Yes,HP data alarm manager ,Official
384,Yes,Yes,A Remote Network Server System ,Official
387,Yes,Yes,AURP (AppleTalk Update-based Routing Protocol)[82] ,Official
388,Yes,Assigned,Unidata LDM near real-time data distribution protocol[83][self-published source][84][self-published source] ,Official
389,Yes,Assigned,Lightweight Directory Access Protocol (LDAP)[10] ,Official
399,Yes,Yes,Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP (RFC1859) ,Official
401,Yes,Yes,Uninterruptible power supply (UPS) ,Official
427,Yes,Yes,Service Location Protocol (SLP)[10] ,Official
433,Yes,Yes,"NNSP, part of Network News Transfer Protocol ",Official
434,Yes,Yes,Mobile IP Agent (RFC 5944) ,Official
443,Yes,Yes,"Hypertext Transfer Protocol Secure (HTTPS)[47][48] uses TCP in versions 1.x and 2. HTTP/3 uses QUIC,[49] a transport protocol on top of UDP.",Official
444,Yes,Yes,"Simple Network Paging Protocol (SNPP), RFC 1568 ",Official
445,Yes,Yes,"Microsoft-DS (Directory Services) Active Directory,[85] Windows shares ",Official
,Yes,Assigned,Microsoft-DS (Directory Services) SMB[10] file sharing,Official 
464,Yes,Yes,Kerberos Change/Set password ,Official
465,Yes,No,URL Rendezvous Directory for SSM (Cisco protocol)[importance?] ,Official
,Yes,No,Authenticated SMTP[10] over TLS/SSL (SMTPS)[86],Official 
475,Yes,Yes,"tcpnethaspsrv, Aladdin Knowledge Systems Hasp services ",Official
491,Yes,,GO-Global remote access and application publishing software ,Unofficial
497,Yes,Yes,Retrospect ,Official
500,Assigned,Yes,Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)[10] ,Official
502,Yes,Yes,Modbus Protocol ,Official
504,Yes,Yes,"Citadel, multiservice protocol for dedicated clients for the Citadel groupware system ",Official
510,Yes,Yes,"FirstClass Protocol (FCP), used by FirstClass client/server groupware system ",Official
512,Yes,,"Rexec, Remote Process Execution ",Official
,,Yes,"comsat, together with biff ",Official 
513,Yes,,rlogin ,Official
,,Yes,Who[87],Official 
